🕘️更新时间,#genre#
CCTV-5,http://153.0.171.163:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv5p
CCTV-5+,http://106.52.196.79:80/TV/mui.php?id=cctv5p
CCTV-5+,http://218.17.33.178:53290/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://110.181.234.38:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://110.181.237.202:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://112.27.235.94:8000/hls/6/index.m3u8
CCTV-5+,http://113.26.202.52:1299/tsfile/live/0016_1.m3u8
CCTV-5+,http://qjrhc.jydjd.top:2911/udp/224.1.100.26:11111
CCTV-6,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv6
CCTV-6,http://8.134.110.147:5300/?id=cctv6
CCTV-6,http://106.52.196.79:80/TV/mui.php?id=cctv6
CCTV-6,http://218.17.33.178:53290/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://110.181.237.202:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://112.27.235.94:8000/hls/7/index.m3u8
CCTV-6,http://153.0.171.163:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://113.26.202.52:1299/tsfile/live/0006_1.m3u8
CCTV-7,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv7
CCTV-7,http://8.134.110.147:5300/?id=cctv7
CCTV-7,http://106.52.196.79:80/TV/mui.php?id=cctv7
CCTV-7,http://110.181.234.38:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8
CCTV-7,http://110.181.237.202:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://112.27.235.94:8000/hls/8/index.m3u8
CCTV-7,http://omnix.cn:4000/udp/225.1.8.7:8104
CCTV-8,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv8
CCTV-8,http://8.134.110.147:5300/?id=cctv8
CCTV-8,http://106.52.196.79:80/TV/mui.php?id=cctv8
CCTV-8,http://218.17.33.178:53290/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://222.169.85.8:9901/tsfile/live/0008_1.m3u8
CCTV-8,http://222.129.32.255:4022/rtp/239.3.1.175:8001
CCTV-8,http://112.27.235.94:8000/hls/9/index.m3u8
CCTV-8,http://120.238.94.10:9901/tsfile/live/1026_1.m3u8
CCTV-9,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv9
CCTV-9,http://8.134.110.147:5300/?id=cctv9
CCTV-9,http://106.52.196.79:80/TV/mui.php?id=cctv9
CCTV-9,http://218.17.33.178:53290/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://110.181.234.38:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://222.169.85.8:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-9,http://110.181.237.202:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://112.27.235.94:8000/hls/10/index.m3u8
CCTV-10,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv10
CCTV-10,http://8.134.110.147:5300/?id=cctv10
CCTV-10,http://106.52.196.79:80/TV/mui.php?id=cctv10
CCTV-10,http://218.17.33.178:53290/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://110.181.234.38:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://222.169.85.8:9901/tsfile/live/0010_1.m3u8
CCTV-10,http://ms.fxim.net:808/hls/10/index.m3u8
CCTV-10,http://110.181.237.202:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv11
CCTV-11,http://106.52.196.79:80/TV/mui.php?id=cctv11
CCTV-11,http://110.181.234.38:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://222.169.85.8:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-11,http://ms.fxim.net:808/hls/11/index.m3u8
CCTV-11,http://110.181.237.202:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://112.27.235.94:8000/hls/12/index.m3u8
CCTV-11,http://120.238.94.10:9901/tsfile/live/1029_1.m3u8
CCTV-12,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv12
CCTV-12,http://8.134.110.147:5300/?id=cctv12
CCTV-12,http://106.52.196.79:80/TV/mui.php?id=cctv12
CCTV-12,http://218.17.33.178:53290/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://110.181.234.38:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://222.169.85.8:9901/tsfile/live/0012_1.m3u8
CCTV-12,http://113.57.93.165:9900/tsfile/live/0012_1.m3u8
CCTV-12,http://110.181.237.202:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv13
CCTV-13,http://8.134.110.147:5300/?id=cctv13
CCTV-13,http://106.52.196.79:80/TV/mui.php?id=cctv13
CCTV-13,http://110.181.234.38:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://222.169.85.8:9901/tsfile/live/0013_1.m3u8
CCTV-13,http://110.181.237.202:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://112.27.235.94:8000/hls/14/index.m3u8
CCTV-13,http://124.116.183.146:9901/tsfile/live/0013_1.m3u8
CCTV-14,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv14
CCTV-14,http://8.134.110.147:5300/?id=cctv14
CCTV-14,http://106.52.196.79:80/TV/mui.php?id=cctv14
CCTV-14,http://110.181.234.38:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://222.169.85.8:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-14,http://110.181.237.202:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://112.27.235.94:8000/hls/15/index.m3u8
CCTV-14,http://124.116.183.146:9901/tsfile/live/0014_1.m3u8
CCTV-15,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv15
CCTV-15,http://8.134.110.147:5300/?id=cctv15
CCTV-15,http://106.52.196.79:80/TV/mui.php?id=cctv15
CCTV-15,http://222.169.85.8:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-15,http://121.60.56.116:10001/rtp/239.69.1.155:10566
CCTV-15,http://113.57.93.165:9900/tsfile/live/0015_1.m3u8
CCTV-15,http://112.27.235.94:8000/hls/16/index.m3u8
CCTV-15,http://153.0.171.163:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://121.34.150.149:8225/rtp/239.77.0.165:5146
CCTV-16,http://123.116.125.121:8012/rtp/239.3.1.184:8001
CCTV-16,http://121.60.56.116:10001/rtp/239.69.1.247:11124
CCTV-16,http://222.129.32.255:4022/rtp/239.3.1.184:8001
CCTV-16,http://111.43.126.240:9003/hls/29/index.m3u8
CCTV-16,http://58.48.104.196:4022/rtp/239.69.1.247:11124
CCTV-16,http://183.11.239.36:808/hls/169/index.m3u8
CCTV-16,http://1b6467f415.iok.la:9931/tsfile/live/1094_1.m3u8
CCTV-17,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv17
CCTV-17,http://123.116.125.121:8012/rtp/239.3.1.151:8144
CCTV-17,http://8.134.110.147:5300/?id=cctv17
CCTV-17,http://106.52.196.79:80/TV/mui.php?id=cctv17
CCTV-17,http://218.17.33.178:53290/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://222.169.85.8:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://222.129.32.255:4022/rtp/239.3.1.151:8144
CCTV-17,http://120.238.94.10:9901/tsfile/live/1048_1.m3u8

📡卫视频道,#genre#
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8
广东卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=gdws
广东卫视,http://8.134.110.147:5300/?id=gdws
广东卫视,http://222.169.85.8:9901/tsfile/live/0125_1.m3u8?#rtsp://116.176.26.18/PLTV/88888910/224/3221225527/10000100000000060000000000107307_0.smil#rtsp://60.13.39.18/PLTV/88888910/224/3221225551/10000100000000060000000000107331_0.smil
广东卫视,http://113.57.93.165:9900/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://112.27.235.94:8000/hls/30/index.m3u8
广东卫视,http://120.238.94.10:9901/tsfile/live/1008_1.m3u8
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://222.169.85.8:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://113.57.93.165:9900/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://112.27.235.94:8000/hls/29/index.m3u8
浙江卫视,http://124.116.183.146:9901/tsfile/live/0124_1.m3u8?key=txiptv#rtsp://116.176.26.19/PLTV/88888910/224/3221225535/10000100000000060000000000107315_0.smil
浙江卫视,http://153.0.171.163:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://58.19.43.46:9901/tsfile/live/1037_1.m3u8
浙江卫视,http://113.26.202.52:1299/tsfile/live/0124_1.m3u8
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
湖南卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=hunws
湖南卫视,http://222.169.85.8:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://183.215.134.239:19901/tsfile/live/0128_1.m3u8?key=txiptv&amp;amp;playlive=1&amp;amp;authid=0
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8
湖南卫视,http://153.0.171.163:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://218.3.138.25:1111/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://111.43.126.240:9003/hls/37/index.m3u8
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://222.169.85.8:9901/tsfile/live/0017_1.m3u8
北京卫视,http://112.27.235.94:8000/hls/27/index.m3u8
北京卫视,http://153.0.171.163:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://218.3.138.25:1111/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://113.26.202.52:1299/tsfile/live/0122_1.m3u8
北京卫视,http://112.46.105.20:8009/hls/35/index.m3u8
北京卫视,http://ak6668768.zicp.io:8830/live1032.m3u8
湖北卫视,http://satellitepull.cnr.cn/live/wx32hubws/playlist.m3u8
湖北卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=hubws
湖北卫视,http://222.169.85.8:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://113.57.93.165:9900/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://112.27.235.94:8000/hls/41/index.m3u8
湖北卫视,http://120.238.94.10:9901/tsfile/live/1055_1.m3u8
湖北卫视,http://153.0.171.163:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://58.19.43.46:9901/tsfile/live/1044_1.m3u8
黑龙江卫视,http://satellitepull.cnr.cn/live/wx32hljws/playlist.m3u8
黑龙江卫视,http://113.57.93.165:9900/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://112.27.235.94:8000/hls/48/index.m3u8
黑龙江卫视,http://153.0.171.163:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://58.19.43.46:9901/tsfile/live/1008_1.m3u8
黑龙江卫视,http://gfr.x3322.net:9901/tsfile/live/1094_1.m3u8
黑龙江卫视,http://112.46.105.20:8009/hls/38/index.m3u8
黑龙江卫视,http://123.129.70.178:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://222.169.85.8:9901/tsfile/live/0130_1.m3u8
安徽卫视,http://113.57.93.165:9900/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://112.27.235.94:8000/hls/26/index.m3u8
安徽卫视,http://124.116.183.146:9901/tsfile/live/0130_1.m3u8?key=txiptv#rtsp://116.176.26.19/PLTV/88888910/224/3221225536/10000100000000060000000000107316_0.smil#rtsp://116.176.26.18/PLTV/88888910/224/3221225536/10000100000000060000000000107316_0.smil
安徽卫视,http://153.0.171.163:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://58.19.43.46:9901/tsfile/live/1040_1.m3u8
安徽卫视,http://gfr.x3322.net:9901/tsfile/live/1092_1.m3u8
安徽卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.65:11111
重庆卫视,http://satellitepull.cnr.cn/live/wxcqws/playlist.m3u8
重庆卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cqws
重庆卫视,http://222.169.85.8:9901/tsfile/live/0142_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8
重庆卫视,http://153.0.171.163:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://111.43.126.240:9003/hls/55/index.m3u8
重庆卫视,http://58.19.43.46:9901/tsfile/live/1042_1.m3u8
重庆卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.101:11111
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
东方卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=dfws
东方卫视,http://8.134.110.147:5300/?id=dfws
东方卫视,http://222.169.85.8:9901/tsfile/live/0018_1.m3u8
东方卫视,http://218.13.170.98:9901/tsfile/live/1010_1.m3u8
东方卫视,http://183.215.134.239:19901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://113.57.93.165:9900/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://112.27.235.94:8000/hls/28/index.m3u8
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8
东南卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=dnws
东南卫视,http://113.57.93.165:9900/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://112.27.235.94:8000/hls/38/index.m3u8
东南卫视,http://111.43.126.240:9003/hls/47/index.m3u8
东南卫视,http://58.19.43.46:9901/tsfile/live/1046_1.m3u8
东南卫视,http://112.46.105.20:8009/hls/45/index.m3u8
东南卫视,http://123.129.70.178:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://satellitepull.cnr.cn/live/wxgsws/playlist.m3u8
甘肃卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=gsws
甘肃卫视,http://218.13.170.98:9901/tsfile/live/0141_1.m3u8
甘肃卫视,http://113.26.202.52:1299/tsfile/live/0141_1.m3u8
甘肃卫视,http://111.61.236.247:9081/hls/54/index.m3u8
甘肃卫视,http://112.46.105.20:8009/hls/51/index.m3u8
甘肃卫视,http://183.11.239.36:808/hls/119/index.m3u8
甘肃卫视,http://1b6467f415.iok.la:9931/tsfile/live/1091_1.m3u8
广西卫视,rtmp://live.gxrb.com.cn/hls/a23
广西卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=gxws
广西卫视,http://222.169.85.8:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0#rtsp://115.85.232.19/PLTV/88888910/224/3221225552/10000100000000060000000000107332_0.smil
广西卫视,http://113.57.93.165:9900/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://153.0.171.163:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://58.19.43.46:9901/tsfile/live/1004_1.m3u8
广西卫视,http://113.26.202.52:1299/tsfile/live/0113_1.m3u8
广西卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.111:11111
贵州卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=gzws
贵州卫视,http://222.169.85.8:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://218.13.170.98:9901/tsfile/live/1014_1.m3u8?key=txiptv
贵州卫视,http://58.19.252.68:1111/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://112.27.235.94:8000/hls/46/index.m3u8
贵州卫视,http://153.0.171.163:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://58.19.43.46:9901/tsfile/live/1011_1.m3u8
贵州卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.57:11111
海南卫视,http://satellitepull.cnr.cn/live/wxhainlyws/playlist.m3u8
海南卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=hinws
海南卫视,http://111.43.126.240:9003/hls/53/index.m3u8
海南卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.16:11111
海南卫视,http://183.11.239.36:808/hls/124/index.m3u8
海南卫视,http://58.221.214.82:9901/tsfile/live/0016_2.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://113.57.93.165/rtp/228.0.0.165:7165$湖北联通组播源-cache:113.57.93.165
海南卫视,http://124.116.183.146/rtp/239.112.205.50:5140$陕西电信组播源-cache:124.116.183.146
河北卫视,http://satellitepull.cnr.cn/live/wxhebws/playlist.m3u8
河北卫视,http://112.27.235.94:8000/hls/39/index.m3u8
河北卫视,http://153.0.171.163:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://111.43.126.240:9003/hls/56/index.m3u8
河北卫视,http://60.174.40.117:85/tsfile/live/1035_1.m3u8?key=txiptv
河北卫视,http://39.164.160.249:9901/tsfile/live/0117_1.m3u8
河北卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.20:11111
河北卫视,http://111.61.236.247:9081/hls/17/index.m3u8
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://lxajh.top/tv/hn.php?id=hnws
河南卫视,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8
河南卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=hnws
河南卫视,http://8.134.110.147:5300/?id=hnws
河南卫视,http://222.169.85.8:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://112.27.235.94:8000/hls/37/index.m3u8
河南卫视,http://120.238.94.10:9901/tsfile/live/1068_1.m3u8?key=txiptv
吉林卫视,http://satellitepull.cnr.cn/live/wxjlws/playlist.m3u8
吉林卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=jlws
吉林卫视,http://113.57.93.165:9900/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://153.0.171.163:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://58.19.43.46:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://60.174.40.117:85/tsfile/live/0116_1.m3u8?key=txiptv
吉林卫视,http://113.26.202.52:1299/tsfile/live/0116_1.m3u8
吉林卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.59:11111
江苏卫视,https://txmov2.a.kwimgs.com/upic/2023/02/07/12/BMjAyMzAyMDcxMjQ3NDlfNzM5MzQzNzIyXzk1NjcxMTk5ODM5XzBfMw==_b_Bb92095c7df3c98b458dd14abf1d4b575.mp4
江苏卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=jsws
江苏卫视,http://8.134.110.147:5300/?id=jsws
江苏卫视,http://218.13.170.98:9901/tsfile/live/1003_1.m3u8
江苏卫视,http://113.57.93.165:9900/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://112.27.235.94:8000/hls/32/index.m3u8
江苏卫视,http://124.116.183.146:9901/tsfile/live/0127_1.m3u8?=TG@YYDSyouzai=key=txiptv&playlive=1&authid=0=TG@YYDSyouzai
江苏卫视,http://218.3.138.25:1111/tsfile/live/1017_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
江西卫视,http://satellitepull.cnr.cn/live/wx32jiangxws/playlist.m3u8
江西卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=jxws
江西卫视,http://203.205.191.53/yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv1.m3u8
江西卫视,http://8.134.110.147:5300/?id=jxws
江西卫视,http://222.169.85.8:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://36.32.174.67:60080/newlive/live/hls/22/live.m3u8
江西卫视,http://183.215.134.239:19901/tsfile/live/0138_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
江西卫视,http://113.57.93.165:9900/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=lnws
辽宁卫视,http://113.57.93.165:9900/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://112.27.235.94:8000/hls/47/index.m3u8
辽宁卫视,http://153.0.171.163:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://58.19.43.46:9901/tsfile/live/1041_1.m3u8
辽宁卫视,http://60.174.40.117:85/tsfile/live/1033_1.m3u8?key=txiptv
辽宁卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.91:11111
辽宁卫视,http://112.46.105.20:8009/hls/54/index.m3u8
内蒙古卫视,http://satellitepull.cnr.cn/live/wx32nmgws/playlist.m3u8
内蒙古卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=nmws
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8
内蒙古卫视,http://153.0.171.163:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://113.26.202.52:1299/tsfile/live/0109_1.m3u8
内蒙古卫视,http://111.61.236.247:9081/hls/48/index.m3u8
内蒙古卫视,http://112.46.105.20:8009/hls/60/index.m3u8
内蒙古卫视,http://183.11.239.36:808/hls/60/index.m3u8
宁夏卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=nxws
宁夏卫视,http://113.57.93.165:9900/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://153.0.171.163:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://113.26.202.52:1299/tsfile/live/0112_1.m3u8
宁夏卫视,http://111.61.236.247:9081/hls/51/index.m3u8
宁夏卫视,http://zqh2333.top:2222/rtp/239.93.24.247:5140
宁夏卫视,http://112.46.105.20:8009/hls/52/index.m3u8
宁夏卫视,http://183.11.239.36:808/hls/106/index.m3u8
青海卫视,http://satellitepull.cnr.cn/live/wx32qhws/playlist.m3u8
青海卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=qhws
青海卫视,http://222.169.85.8:9901/tsfile/live/0018_1.m3u8
青海卫视,http://153.0.171.163:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://58.19.43.46:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://111.61.236.247:9081/hls/49/index.m3u8
青海卫视,http://zqh2333.top:2222/rtp/239.93.24.192:5140
青海卫视,http://112.46.105.20:8009/hls/58/index.m3u8
山东卫视,http://satellitepull.cnr.cn/live/wxsdws/playlist.m3u8
山东卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=sdws
山东卫视,http://222.169.85.8:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://36.32.174.67:60080/newlive/live/hls/42/live.m3u8
山东卫视,http://112.27.235.94:8000/hls/34/index.m3u8
